SCH_ID,STU_ID,stlang,sclimate,public,mathach,bygender,byabsen,cmathach,csclimate
1011,101101,1,3.59999990463257,1,39.939998626709,0,0,1.44699859619141,-0.317000091075897
1011,101102,0,3.59999990463257,1,47.3610000610352,0,0,8.86800003051758,-0.317000091075897
1011,101104,1,3.59999990463257,1,56.7169990539551,0,0,18.2239990234375,-0.317000091075897
1011,101105,1,3.59999990463257,1,29.6030006408691,0,0,-8.88999938964844,-0.317000091075897
1011,101106,0,3.59999990463257,1,24.6730003356934,0,0,-13.8199996948242,-0.317000091075897
1011,101107,0,3.59999990463257,1,19.4580001831055,1,1,-19.0349998474121,-0.317000091075897
1011,101108,1,3.59999990463257,1,37.9650001525879,1,1,-0.527999818325043,-0.317000091075897
1011,101109,1,3.59999990463257,1,56.4650001525879,1,0,17.9720001220703,-0.317000091075897
1011,101110,1,3.59999990463257,1,23.4650001525879,1,1,-15.0279998779297,-0.317000091075897
1011,101111,1,3.59999990463257,1,31.5890007019043,1,0,-6.90399932861328,-0.317000091075897
1011,101112,1,3.59999990463257,1,48.7029991149902,1,0,10.2099990844727,-0.317000091075897
1011,101113,0,3.59999990463257,1,34.0629997253418,0,0,-4.43000030517578,-0.317000091075897
1011,101114,1,3.59999990463257,1,23.2019996643066,0,1,-15.2910003662109,-0.317000091075897
1011,101115,1,3.59999990463257,1,54.9930000305176,1,0,16.5,-0.317000091075897
1011,101116,1,3.59999990463257,1,59.4080009460449,1,1,20.9150009155273,-0.317000091075897
1011,101117,1,3.59999990463257,1,17.5330009460449,1,1,-20.9599990844727,-0.317000091075897
1011,101118,1,3.59999990463257,1,16.1100006103516,0,2,-22.382999420166,-0.317000091075897
1011,101119,0,3.59999990463257,1,49.3600006103516,0,1,10.867000579834,-0.317000091075897
1011,101120,1,3.59999990463257,1,27.5440006256104,1,1,-10.9489994049072,-0.317000091075897
1011,101121,0,3.59999990463257,1,47.576000213623,0,0,9.08300018310547,-0.317000091075897
1011,101122,0,3.59999990463257,1,31.443000793457,1,1,-7.04999923706055,-0.317000091075897
1011,101123,0,3.59999990463257,1,33.7509994506836,1,1,-4.74200057983398,-0.317000091075897
1011,101124,1,3.59999990463257,1,35.0349998474121,1,4,-3.45800018310547,-0.317000091075897
1011,101126,0,3.59999990463257,1,56.609001159668,0,0,18.1160011291504,-0.317000091075897
1011,101127,0,3.59999990463257,1,42.1730003356934,0,1,3.68000030517578,-0.317000091075897
1011,101128,0,3.59999990463257,1,40.3899993896484,1,0,1.89699935913086,-0.317000091075897
1011,101129,1,3.59999990463257,1,61.1580009460449,1,1,22.6650009155273,-0.317000091075897
1011,101131,1,3.59999990463257,1,49.7509994506836,1,0,11.257999420166,-0.317000091075897
1011,101132,1,3.59999990463257,1,33.435001373291,1,1,-5.05799865722656,-0.317000091075897
1011,101133,1,3.59999990463257,1,23.5429992675781,1,1,-14.9500007629395,-0.317000091075897
1021,102101,1,2.40000009536743,1,33.4869995117188,1,1,-5.00600051879883,-1.51699995994568
1021,102103,1,2.40000009536743,1,19.2430000305176,0,0,-19.25,-1.51699995994568
1021,102105,1,2.40000009536743,1,21.8369998931885,1,1,-16.6560001373291,-1.51699995994568
1021,102106,0,2.40000009536743,1,20.0799999237061,0,1,-18.4130001068115,-1.51699995994568
