,SCH_ID,STU_ID,stlang,efficacy,sclimate,Profmath1,Profmath2,Profmath3,Profmath4,Profmath5,Profmath,public,mathach
1,1011,101101,1,1.6,3.6,1,1,1,0,0,3,1,39.94
2,1011,101102,0,3.8,3.6,1,1,1,0,0,3,1,47.361
3,1011,101104,1,2.4,3.6,1,1,1,1,0,4,1,56.717
4,1011,101105,1,3.4,3.6,1,0,0,0,0,1,1,29.603
5,1011,101106,0,2.6,3.6,1,0,0,0,0,1,1,24.673
6,1011,101107,0,2.5,3.6,1,0,0,0,0,1,1,19.458
7,1011,101108,1,2.2,3.6,1,1,0,0,0,2,1,37.965
8,1011,101109,1,3.2,3.6,1,1,1,1,0,4,1,56.465
9,1011,101110,1,3,3.6,1,0,0,0,0,1,1,23.465
10,1011,101111,1,3.2,3.6,1,1,0,0,0,2,1,31.589
11,1011,101112,1,1.6,3.6,1,1,1,0,0,3,1,48.703
12,1011,101113,0,1.4,3.6,1,1,0,0,0,2,1,34.063
13,1011,101114,1,2.4,3.6,1,0,0,0,0,1,1,23.202
14,1011,101115,1,2.6,3.6,1,1,1,1,0,4,1,54.993
15,1011,101116,1,3.6,3.6,1,1,1,1,0,4,1,59.408
16,1011,101117,1,3,3.6,0,0,0,0,0,0,1,17.533
17,1011,101118,1,1.6,3.6,0,0,0,0,0,0,1,16.11
18,1011,101119,0,2.2,3.6,1,1,1,1,0,4,1,49.36
19,1011,101120,1,2,3.6,1,0,0,0,0,1,1,27.544
20,1011,101121,0,4,3.6,1,1,1,0,0,3,1,47.576
21,1011,101122,0,2,3.6,1,1,0,0,0,2,1,31.443
22,1011,101123,0,3,3.6,1,1,0,0,0,2,1,33.751
23,1011,101124,1,3.2,3.6,1,1,0,0,0,2,1,35.035
24,1011,101125,0,NA,3.6,1,0,0,0,0,1,1,24.927
25,1011,101126,0,3,3.6,1,1,1,1,0,4,1,56.609
26,1011,101127,0,2.4,3.6,1,1,1,0,0,3,1,42.173
27,1011,101128,0,2.6,3.6,1,1,1,0,0,3,1,40.39
28,1011,101129,1,2.6,3.6,1,1,1,1,0,4,1,61.158
29,1011,101131,1,3,3.6,1,1,1,0,0,3,1,49.751
30,1011,101132,1,2,3.6,1,1,0,0,0,2,1,33.435
31,1011,101133,1,2,3.6,1,0,0,0,0,1,1,23.543
32,1012,101201,0,NA,NA,1,0,0,0,0,1,1,29.532
33,1012,101203,1,NA,NA,1,1,0,0,0,2,1,36.786
34,1012,101207,1,NA,NA,1,1,1,0,0,3,1,46.499
35,1012,101209,1,NA,NA,1,1,0,0,0,2,1,32.578
36,1012,101210,1,NA,NA,1,1,1,1,0,4,1,55.715
37,1012,101211,1,NA,NA,1,1,1,0,0,3,1,45.658
38,1012,101212,1,NA,NA,1,1,0,0,0,2,1,34.73
39,1012,101214,1,NA,NA,1,0,0,0,0,1,1,28.233
40,1012,101215,1,NA,NA,1,1,1,0,0,3,1,42.738
41,1012,101217,1,3,NA,1,0,0,0,0,1,1,20.918
